Date,Index
12/4/2018,1142.01
12/6/2018,1120.84
12/9/2018,1131.7
12/10/2018,1144.19
12/11/2018,1141.1
12/12/2018,1141.18
12/13/2018,1148.78
12/16/2018,1167.67
12/17/2018,1182.78
12/18/2018,1168.17
12/19/2018,1162.7
12/20/2018,1165.97
12/23/2018,1198.18
12/24/2018,1191.74
12/25/2018,1186.03
12/26/2018,1216.27
12/30/2018,1204.54
12/31/2018,1187.28
1/1/2019,1185.91
1/2/2019,1180.43
1/3/2019,1178.87
1/6/2019,1170.79
1/7/2019,1177.46
1/8/2019,1177.07
1/9/2019,1179.36
1/10/2019,1180.84
1/13/2019,1175.05
1/14/2019,1186.8
1/15/2019,1195.54
1/16/2019,1187.97
1/17/2019,1187.77
1/20/2019,1179.17
1/21/2019,1168.06
1/22/2019,1168.83
1/23/2019,1172.98
1/24/2019,1172.78
1/27/2019,1162.09
1/28/2019,1164.89
1/29/2019,1160.99
1/30/2019,1160.59
1/31/2019,1161.63
2/3/2019,1153.06
2/4/2019,1144.27
2/5/2019,1147.1
2/6/2019,1139.72
2/7/2019,1139.57
2/10/2019,1127.53
2/11/2019,1128.86
2/12/2019,1128.19
2/13/2019,1121.08
2/14/2019,1112.87
2/17/2019,1109.72
2/18/2019,1102.51
2/19/2019,1124.96
2/20/2019,1112.23
2/21/2019,1113.07
2/24/2019,1102.32
2/25/2019,1109.73
2/26/2019,1102.56
2/27/2019,1105.53
3/3/2019,1100.58
3/5/2019,1102.64
3/6/2019,1111.76
3/7/2019,1127.77
3/10/2019,1128.71
3/11/2019,1142.93
3/12/2019,1163.26
3/13/2019,1150.1
3/14/2019,1155.5
3/17/2019,1161.45
3/18/2019,1153.98
3/19/2019,1147.15
3/21/2019,1140.6
3/24/2019,1134.8
3/25/2019,1138.67
3/26/2019,1140.72
3/27/2019,1140.71
3/28/2019,1144.53
3/31/2019,1143.59
4/1/2019,1149.99
4/2/2019,1163.47
4/3/2019,1165.84
4/4/2019,1165.2
4/7/2019,1182.36
4/8/2019,1191.68
